	news_collected_time	news_title
6838	2014-12-20	Kerry: Vote on Palestinian UN bid would strengthen hardliners
6839	2014-12-20	CA woman pleads not guilty in accident killing 4
6840	2014-12-20	Parents of Colorado theater shooter plead for his life
6841	2014-12-20	New video taken after Ray Rice's elevator incident released
6842	2014-12-20	Obama has women do the asking at press event
6843	2014-12-20	Listeria outbreak from caramel apples has killed four
6844	2014-12-20	"Russia calls new sanctions on Crimea ""collective punishment"""
6845	2014-12-20	Listeria in Caramel Apples Targets Pregnant Women
6846	2014-12-20	US drone missile attack kills five Taliban in Pakistan
6847	2014-12-20	Theater shooter's parents plead for his life
6848	2014-12-20	Hamas: IAF strike in Gaza is a 'dangerous escalation'
6849	2014-12-20	Bahrain 'terror blast' wounds 3 police
6850	2014-12-20	Cairns stabbings: Memorial grows as community grieves for eight children found dead
6851	2014-12-20	Cuba's parliament backs decision to normalize relations with U.S.
6852	2014-12-20	34 Taliban fighters linked to school massacre killed by US drone strike, Pakistan ...
6853	2014-12-20	"Russia calls new sanctions on Crimea ""collective punishment"""
6854	2014-12-20	After summer war, winter exacerbates hopelessness on the Gaza Strip
6855	2014-12-20	Here's Why Colorado Theater Shooter James Holmes' Trial Has Been Delayed
6856	2014-12-20	Obama Says Opening to Cuba Will Take Years To Pay off
6857	2014-12-20	New Video Shows Rice and Fiancee in Aftermath of Punch
6858	2014-12-20	US Sends 4 Afghans Back Home From Guantanamo
6859	2014-12-20	Pakistan papers back return of executions
6860	2014-12-20	Hamas: Israeli strike in Gaza is a 'dangerous escalation'
6861	2014-12-20	Same-Sex Marriage Fast Facts [From CNN News]
6862	2014-12-20	Turkey's Erdogan 'closely following' legal case against rival cleric
6863	2014-12-20	State Department issues worldwide travel alert
6864	2014-12-20	New Ray Rice footage shows distraught Janay, couple kissing in handcuffs
6865	2014-12-20	Cuba says US must respect its communist system
6866	2014-12-20	US releases four Guantanamo prisoners, sends them home to Afghanistan
6867	2014-12-20	US drone strike in Pakistan kills 5 militants
6868	2014-12-20	US Issues Travel Alert For Americans Traveling Abroad « CBS New York
6869	2014-12-20	CIA unlikely to punish staff over Senate computer search: NYT
6870	2014-12-20	New video shows aftermath of Ray Rice's elevator incident
6871	2014-12-20	Cairns stabbings: Eight killed children identified as mother remains under arrest
6872	2014-12-20	Taliban 'intelligence chief and arms dealer' released from Guantanamo
6873	2014-12-20	Pakistan starts hanging militants in revenge for school massacre — RT News
6874	2014-12-20	Massive holiday storm poised to disrupt travel
6875	2014-12-20	Obama Takes Foreign Policy Risk, But On His Own Terms
6876	2014-12-20	Netanyahu must realise that it's time for peace
6877	2014-12-20	Obama talks about Cuba thaw, Keystone XL in year-end remarks
6878	2014-12-20	U.S. Releases 4 Afghan Prisoners From Guantanamo
6879	2014-12-20	Castro Thanks US but Affirms Cuba's Communist Rule
6880	2014-12-20	Cairns mother arrested on suspicion of murder of eight children stabbed to death in Australian home
6881	2014-12-20	NYCs Garner Protesters vs. Pro-Cop Protesters
6882	2014-12-20	New video shows Rice and fiancee in aftermath of punch
6883	2014-12-20	U.S. to Release Four Guantanamo Bay Prisoners to Afghanistan
6884	2014-12-20	Charges expected for Cairns mum
6885	2014-12-20	NYPD officer videoed punching a teenager is suspended
6886	2014-12-20	CIA unlikely to penalise staff over search of Senate computers – report
6887	2014-12-20	US repatriates 4 more Guantanamo detainees -- this time to Afghanistan
6888	2014-12-20	Russia Won't Be Intimidated Over Crimea: Russian President Vladimir Putin
6889	2014-12-20	Florida to begin recognizing same-sex marriages following Supreme Court stay denial
6890	2014-12-20	Four Afghans Released From Guantánamo Bay
6891	2014-12-20	New video shows Rice and fiancee in aftermath of punch
6892	2014-12-20	Cuba says US must respect its communist system
6893	2014-12-20	Pakistan army kills scores of insurgents in latest raid on Taliban
6894	2014-12-20	Marco Rubio strikes back: Rand Paul adopting Obama's foreign policy
6895	2014-12-20	Putin says Russia will not be 'intimidated' over Crimea
6896	2014-12-20	Four detainees released from Guantanamo Bay to Afghanistan
6897	2014-12-20	What do Florida politics have to do with US-Cuba policy? Less and less.
6898	2014-12-20	Family of Mersane Warria, mother in Cairns stabbing, speak out
6899	2014-12-20	Mullah Radio, terrorist demagogue behind the savagery of Peshawar
6900	2014-12-20	Obama takes foreign policy risk, but on his own terms
6901	2014-12-20	Third Person Arrested in NYPD Officer Attack on Brooklyn Bridge
6902	2014-12-20	Four Afghan Guantanamo detainees repatriated: Pentagon
6903	2014-12-20	US Asks China to Help Rein In Korean Hackers
6904	2014-12-20	Protesters against Cuba-US plan gather in Miami FOX6 WBRC
6905	2014-12-20	Six Militants Killed in US Drone Attacks in Pakistan
6906	2014-12-20	In Australia, 8 Youths Die in Mass Stabbing
6907	2014-12-20	NYC crime falls but concern about police tactics rises
6908	2014-12-20	Yazidis cheer Kurds on Iraqi mountain for breaking Islamic State siege
6909	2014-12-20	Men's basketball: Slow start dooms Buckeyes against Tar Heels
6910	2014-12-20	Syracuse basketball fumbles away chance at upset with overtime loss at No. 7 Villanova
6911	2014-12-20	United States sends four Guantanamo prisoners home to Afghanistan
6912	2014-12-20	One Police Officer Is Fatally Shot and Second Is Critically Injured in Brooklyn
6913	2014-12-20	President Obama's Hawaii Vacation: Day 1
6914	2014-12-20	#BlackLivesMatter Protesters Shut Down Part Of Mall Of America
6915	2014-12-20	Yazidis cheer Kurds on Iraqi mountain for breaking Islamic State siege
6916	2014-12-20	Reports: 2 NYC officers dead in ambush-style shooting
6917	2014-12-20	Protesters: 'It's not the time' for more Cuba ties
6918	2014-12-20	Four Guantanamo inmates sent home to Afghanistan
6919	2014-12-20	Police brutality protesters rally at Mall of America
6920	2014-12-20	Pakistanis protest against Taliban as army intensifies offensive in north-west
6921	2014-12-20	CDC: Listeria Outbreak In 10 States Linked To Caramel Apples
6922	2014-12-20	Democratic techies divided loyalties
6923	2014-12-20	Police: Man in elf costume charged with DWI
6924	2014-12-20	Raul Castro Says Detente Won't Change Cuban System
6925	2014-12-20	Mall of America protest attracts thousands on busy shopping day
6926	2014-12-20	Police: Man dressed in 'Elf on the Shelf' costume passed out in parking lot charged with DWI
6927	2014-12-20	US drone strike 'kills five Pakistani Taliban militants' after Peshawar school massacre
6928	2014-12-20	Cairns stabbings: Family of eight murdered children arrive ahead of church services
6929	2014-12-20	1 NYPD officer dead, 1 critically injured after shooting
6930	2014-12-20	Pentagon returns four Guantanamo detainees to Afghanistan
6931	2014-12-20	New Ray Rice video vexes domestic abuse experts
6932	2014-12-20	Latest developments on the US-Cuba story
6933	2014-12-20	Activists slam Islamabad for resuming executions
6934	2014-12-20	Police: Man in elf costume charged with DWI
6935	2014-12-20	Police brutality protesters rally at Mall of America
6936	2014-12-20	Obama Says Opening to Cuba Will Take Years to Bear Fruit
6937	2014-12-20	Kentucky Scores First 24 Points, Beats UCLA 83-42
6938	2014-12-20	Protesters shut down part of Mall of America in Minnesota
6939	2014-12-20	Raul Castro: Don't expect detente to change Cuban system
6940	2014-12-20	Pakistan issues arrest warrant against TTP chief, 7 others
6941	2014-12-20	UCLA's Steve Alford strongly believes Kentucky will go undefeated
6942	2014-12-20	Longmont Santa has the answers
6943	2014-12-20	Ray and Janay made out right after punch
6944	2014-12-20	Cairns stabbings: Eight child victims formally identified by police
6945	2014-12-20	'Black Lives Matter' Protest Brings Thousands To MOA; Some Shops Locked Down
6946	2014-12-20	Police: Man in elf costume charged with DWI
6947	2014-12-20	US sends four Guantanamo prisoners home to Afghanistan
6948	2014-12-20	For Pak army, Peshawar is a game changer
6949	2014-12-20	Food poisoning kills five, prepackaged caramel apples linked to deaths
6950	2014-12-20	Eagles going in wrong direction
6951	2014-12-20	N.J. man in elf costume arrested for DWI
6952	2014-12-20	'Assassinated': Shock as Two NYPD Officers Murdered in Cold Blood
6953	2014-12-20	Many Cubans optimistic and cautious about new U.S. ties
6954	2014-12-20	SEE IT: Former Ravens RB Ray Rice brings gifts to kids
6955	2014-12-20	Redskins come through in the clutch, beat Eagles 27-24 for fourth win of rough season
6956	2014-12-20	“Many Pakistanis have acquired the Taliban mindset”
6957	2014-12-20	San Diego Chargers at San Francisco 49ers Prediction
6958	2014-12-20	Madonna Drops Six Tracks from New Album 'Rebel Heart' Featuring Nicki Minaj ...
6959	2014-12-20	Raul Castro foresees long, hard struggle to end US embargo
6960	2014-12-20	US frees four Afghan Guantanamo detainees
6961	2014-12-20	Amir Khan wants to help rebuild Pakistan school attacked by terrorists
6962	2014-12-20	No. 1 Kentucky dominates from the start in 83-44 rout of UCLA
6963	2014-12-20	Raul Castro: Cuba 'will not renounce its ideas'
6964	2014-12-20	US transfers four Guantanamo prisoners to Afghanistan
6965	2014-12-20	Rare spot for Lions: Sitting pretty in playoff picture
6966	2014-12-20	Protesters shut down part of Mall of America in Minnesota
6967	2014-12-20	NYPD shooting victims: 'Targeted for their uniform'
6968	2014-12-20	Cuba tells US to respect its socialist principles
6969	2014-12-20	Bruce Ellington Scores Pair of Second-Quarter TDs
6970	2014-12-20	Islanders stun Lightning with late third-period rally
6971	2014-12-20	Spotlight: Castro hails thaw in Cuban-US ties, expecting reciprocal dialogue
6972	2014-12-20	Australian woman charged with murder of 8 children
6973	2014-12-20	Four detainees released from Guantanamo Bay
6974	2014-12-20	Philip Rivers Throws Perfect TD Pass To Wrong Team (GIF)
6975	2014-12-20	Islanders rally late, stun Lightning 3-1
6976	2014-12-20	For some Cuban exiles, the old toast 'Next year in Cuba!' is suddenly more ...
6977	2014-12-20	Muhammad Ali hospitalized with pneumonia
6978	2014-12-20	2 NYPD police officers 'assassinated'; shooter dead
6979	2014-12-20	A Chance to Breach Divide for Young in Cuba and US
6980	2014-12-20	Australian woman charged with murder of eight children
6981	2014-12-20	Boxing legend Muhammad Ali hospitalized with mild case of pneumonia
6982	2014-12-20	One long moment
6983	2014-12-20	Madonna releases 6 songs after leak
6984	2014-12-20	'Blood on Many Hands': Police union president slams De Blasio after cops' killing
6985	2014-12-20	Australian Woman Charged With Murder of Eight Children
6986	2014-12-20	Famed boxer Muhammad Ali in hospital with pneumonia
6987	2014-12-20	Operation to continue: COAS
6988	2014-12-20	Arrests as hundreds protest at Mall of America
6989	2014-12-20	Madonna Releases Six New Songs From Upcoming 'Rebel Heart' Album
6990	2014-12-21	President Obama briefed on New York police shooting
6991	2014-12-21	Australia Cairns: Mother charged with eight murders
6992	2014-12-21	Taliban Stockholm syndrome
6993	2014-12-21	Chargers rallies to 38-35 OT win over 49ers
6994	2014-12-21	Redskins deal Eagles serious blow to playoff hopes
6995	2014-12-21	Middle East Updates / US sends four Afghan Guantanamo prisoners home
6996	2014-12-21	Helpless in Peshawar
6997	2014-12-21	Boxing legend Muhammad Ali in hospital with pneumonia
6998	2014-12-21	49ers squander big lead, big outings by Gore and Kaepernick
6999	2014-12-21	Obama vacation in Hawaii begins with golf
7000	2014-12-21	Raul Castro thanks Obama for 'a new chapter,' but affirms Cuba's communist rule
7001	2014-12-21	Australian mother suspected in deaths of 8 children cooperating with police
7002	2014-12-21	49ers rookie Bruce Ellington opens eyes with two TDs
7003	2014-12-21	NYPD cops turn backs to de Blasio at hospital
7004	2014-12-21	History has absolved Castro
7005	2014-12-21	Media caption Shaimaa Khalil reports: ''A country still in mourning...and on edge''
7006	2014-12-21	Chargers drop 49ers in OT to stay in playoff race
7007	2014-12-21	Chicago Mayor Rahm Emanuel's son mugged outside family home
7008	2014-12-21	Castro hails US-Cuba thaw - World News
7009	2014-12-21	Pakistan Taliban leader Mullah Fazlullah 'killed in air strike'
7010	2014-12-21	Muhammad Ali hospitalized with pneumonia
7011	2014-12-21	Arrested protesters now face the law
7012	2014-12-21	2 NYPD police officers 'assassinated'; shooter dead
7013	2014-12-21	Only thing even Rahm Emanuel can't fix: Da Bears
7014	2014-12-21	49ers blow 21-point lead in OT loss to Chargers
7015	2014-12-21	'Assassinated': Shock After Two NYPD Officers Gunned Down in Their Car
7016	2014-12-21	Rage and hope in Little Havana as Barack Obama brings Cuba in from the cold
7017	2014-12-21	Four Afghans sent home from Guantanamo
7018	2014-12-21	San Francisco 49ers TeamReport
7019	2014-12-21	Australian Woman Charged With Murder of Eight Children in Cairns
7020	2014-12-21	Voices of grief and determination in Peshawar
7021	2014-12-21	Public Affairs If the Cuban embargo is lifted
7022	2014-12-21	Mother charged with murdering eight children in Cairns
7023	2014-12-21	U.S. drone strike kills 5
7024	2014-12-21	Muhammad Ali hospitalized with pneumonia
7025	2014-12-21	Names and Faces
7026	2014-12-21	Afghan Guantánamo inmates sent home
7027	2014-12-21	Muhammad Ali Hospitalized With Mild Case of Pneumonia
7028	2014-12-21	Chicago mayor's teenage son mugged near home
7029	2014-12-21	Tunisians vote in historic presidential run-off
7030	2014-12-21	US reportedly asks China to help curb North Korea's cyberattack abilities
7031	2014-12-21	Amir Khan vows to rebuild Peshawar school following Taliban massacre in Pakistan
7032	2014-12-21	Poor Execution, Injuries and Lack of Adjustment Derail 49ers' Efforts in Week 16
7033	2014-12-21	Tunisians vote in historic presidential run-off
7034	2014-12-21	Protesters: 'It's not the time' for more Cuba ties
7035	2014-12-21	Cairns deaths: Mother charged with murder of eight children found dead at her home
7036	2014-12-21	Mastermind of Pakistan school attack ID'd as militant known by 'Slim'
7037	2014-12-21	Rahm Emanuel's son robbed near family's Chicago home
7038	2014-12-21	Tunisians head to elect president in runoff
7039	2014-12-21	Madonna releases 6 songs after leak
7040	2014-12-21	2 New York Police Officers Killed in Ambush
7041	2014-12-21	Amir Khan plans Pakistan visit to show support for victims of school massacre
7042	2014-12-21	Colin Kaepernick breaks out for incredible 90-yard touchdown run
7043	2014-12-21	Tunisians Head to Elect President in Second Round
7044	2014-12-21	Protesters' chants of 'Black Lives Matter' echo at megamall; at least 20 arrested
7045	2014-12-21	Woman Charged in Deaths of 8 Children in Australia
7046	2014-12-21	Bush vs. Clinton again? It's getting ridiculous
7047	2014-12-21	Tunisians Votes in Historic Presidential Runoff
7048	2014-12-21	Bolts Stage Wild Rally for the Ages
7049	2014-12-21	Sports report: Muhammad Ali in hospital because of mild case of pneumonia
7050	2014-12-21	Tunisians votes in historic presidential runoff
7051	2014-12-21	Voices: Defiance in the face of terror
7052	2014-12-21	Police officer shot and killed in Florida
7053	2014-12-21	Obama: North Korea's hack not war, but 'cybervandalism'
7054	2014-12-21	Yazidis cheer Kurds on Iraqi mountain for breaking Islamic State siege
7055	2014-12-21	Amir Khan vows to travel to Pakistan to show support for those dealing with Peshawar school massacre
7056	2014-12-21	Obama: We're not at cyber war with North Korea
7057	2014-12-21	Obama to do 'everything I can' to close Gitmo
7058	2014-12-21	Mourners flock to massacre school
7059	2014-12-21	Iraqi Kurds Push Into Sinjar After Islamic State Occupation
7060	2014-12-21	Cop killed in Florida, suspect in custody
7061	2014-12-21	Republicans fighting to hang onto Senate _ in 2016
7062	2014-12-21	Police continue search for the men who robbed Mayor Emanuel's son
7063	2014-12-21	New York Police Shooting Suspect Promised Attack Ahead of Time
7064	2014-12-21	Florida Cop Shot, Killed in Tarpon Springs Shooting
7065	2014-12-21	Iraqi Kurdish Leader Visits Sinjar After IS Pushed Out
7066	2014-12-21	Cairns mother Mersane Warria of children stabbed to death charged with murder
7067	2014-12-21	Son of Chicago Mayor Rahm Emanuel mugged near home - Jewish World News Israel News
7068	2014-12-21	Winter solstice 2014: When is the darkest day of the year?
7069	2014-12-21	NYPD shooter had 'very strong bias' against police
7070	2014-12-21	Hillary Clinton Support Dips In New Poll
7071	2014-12-21	Chicago mayor's teenage son mugged near home
7072	2014-12-21	Iraqi Kurdish fighters push into ISIS-held Sinjar
7073	2014-12-21	Republicans fighting to hang onto Senate _ in 2016
7074	2014-12-21	NYC mourns officers as rift widens between union, mayor
7075	2014-12-21	Florida Authorities Say 1 Police Officer Shot and Killed
7076	2014-12-21	As Obamacare Boosts Tenet Healthcare, Jeb Bush And Hillary Clinton Win
7077	2014-12-21	Boxing legend Muhammad Ali hospitalized with pneumonia
7078	2014-12-21	Pakistan massacre: Thousands flock to Peshawar school to mourn dead, demand action against Taliban
7079	2014-12-21	10 Best Hip-Hop Holiday Songs of All Time (Part 1)
7080	2014-12-21	Authorities say cop killer wanted retaliation for Michael Brown, Eric Garner deaths
7081	2014-12-21	Police Officer Is Shot and Killed in Florida
7082	2014-12-21	Sinjar battle: Kurds 'take control' of large area from IS
7083	2014-12-21	Mayor Rahm Emanuel's Son Zach Mugged, Assaulted Outside Family Home
7084	2014-12-21	Texas A&M brings down west end of Kyle Field
7085	2014-12-21	Australian woman charged with murder of 8 children
7086	2014-12-21	Two NY police officers slain in apparent retribution attack
7087	2014-12-21	Florida police officer killed; suspect in custody
7088	2014-12-21	West side of A&M's Kyle Field imploded
7089	2014-12-21	Muhammad Ali Hospitalized with Mild Case of Pneumonia
7090	2014-12-21	Elected school board question may test mayoral candidates
7091	2014-12-21	The innocents allegedly murdered by Cairns mother Mersane Warria pictured
7092	2014-12-21	2 NYPD Officers Dead In Brooklyn Shooting
7093	2014-12-21	Why cyber warfare is so attractive to small nations
7094	2014-12-21	Obama vows again to close Guantanamo prison - Xinhua
7095	2014-12-21	US forces launch 13 air strikes in Iraq and three in Syria
7096	2014-12-21	Tent city sprouts in shadow of downtown Detroit
7097	2014-12-21	Muhammad Ali hospitalized with pneumonia
7098	2014-12-21	Obama saying 'Aloha,' then taking trip is wrong response to N. Korea cyber attacks, Rogers says
7099	2014-12-21	Pakistan Makes Arrests in Taliban School Carnage
7100	2014-12-21	New Jersey critiques US power plant plans
7101	2014-12-21	1 thing even Rahm can't fix: Da Bears
7102	2014-12-21	One man killed, two injured in stabbing on Blue Hill Avenue
7103	2014-12-21	Andrei Lankov: The Kim That Roared
7104	2014-12-21	Florida officer is slain; formerly worked for NYPD
7105	2014-12-21	US planes hit 'Islamic State' in Iraq, Syria after big Kurdish victory
7106	2014-12-21	Boxing legend Muhammad Ali hospitalised with pneumonia
7107	2014-12-21	West side of A&M's Kyle Field imploded
7108	2014-12-21	No Tsunami Threat After Magnitude 6.6 Earthquake Strikes In Indonesia's ...
7109	2014-12-21	Kate Upton crowned Sexiest Woman Alive: Her low carb diet and workout secrets - National Celebrity Fitness and Health
7110	2014-12-21	ISIL fighters 'flee' Iraq's Sinjar as Peshmerga troops make gains
7111	2014-12-21	Cairns killings: Mother charged with murder over deaths of her seven children and niece in Australia
7112	2014-12-21	Pakistan school attack arrests made, officials say
7113	2014-12-21	Muhammad Ali, 72, Hospitalized With Pneumonia
7114	2014-12-21	'Saturday Night Live' Paradies Popular Podcast 'Serial' (Video)
7115	2014-12-21	Watch the west side of Texas A&M's Kyle Field implode into a dust storm
7116	2014-12-21	Kourtney Kardashian Reveals Her Baby Boy's Name On Instagram
7117	2014-12-21	US gas prices fall to lowest since May 2009: Lundberg survey
7118	2014-12-21	West side of Texas A&M's Kyle Field imploded
7119	2014-12-21	Police officer shot and killed in Florida, authorities say
7120	2014-12-21	No. 6 Virginia slams Harvard 76-27
7121	2014-12-21	Entrepreneur builds a sleek ship, but will anyone buy it?
7122	2014-12-21	Marco Rubio: Engagement with Cuba won't lead to freedom
7123	2014-12-21	Muhammad Ali Is Hospitalized for Mild Case of Pneumonia But is In Stable ...
7124	2014-12-21	Survey: US gas prices fall 25 cents per gallon
7125	2014-12-21	See pics and video of Texas A&M's Kyle Field imploding
7126	2014-12-21	Happy Winter Solstice! Get the Scientific Reasons for Earth's Seasons
7127	2014-12-21	Eric Garner's family pleads for calm after NYC tragedy
7128	2014-12-21	Shades of 2016: Rubio attacks 'Obama-Paul' foreign policy on Cuba
7129	2014-12-21	Good news from Tom Brokaw: His cancer is in remission
7130	2014-12-21	Boxing Great Muhammad Ali Hospitalized
7131	2014-12-21	Could a tsunami disaster happen again?
7132	2014-12-21	Lance Bass Marries Boyfriend Michael Turchin
7133	2014-12-21	Kourtney Kardashian reveals newborn son's name, shares photo
7134	2014-12-21	Good news from Tom Brokaw: His cancer is in remission
7135	2014-12-21	West side of A&M's Kyle Field imploded
7136	2014-12-21	Winter solstice at 5:03 p.m. Sunday, marking shortest day of the year
7137	2014-12-21	Slain NYPD Officers Rafael Ramos and Wenjian Liu Remembered
7138	2014-12-21	MTP: Rubio Says Jeb Bush Doesn't Factor Into 2016 Decision
7139	2014-12-21	'Rebel Heart': Madonna Reveals the Story Behind Six Surprise Songs
7140	2014-12-21	Patriots Stock Report: Danny Amendola Shines, Logan Ryan Struggles
7141	2014-12-21	Pelissero: Season may end like it began for Johnny Manziel
7142	2014-12-21	Packers beat Buccaneers, clinch playoff berth
7143	2014-12-21	Iraqi Kurds Push Into Sinjar After Islamic State Occupation
7144	2014-12-21	Muhammad Ali Hospitalized: “Mild Case of Pneumonia and the Prognosis is Good”
7145	2014-12-21	Tarpon Springs police officer shot and killed
7146	2014-12-21	Six people struck by lightning at Fla. football stadium
7147	2014-12-21	Madonna: I did not say, 'Hey, here's my music, and it's finished.' It was theft
7148	2014-12-21	It's the Most Wonderful Time of the Patriots' Year Because It Couldn't Be Duller
7149	2014-12-21	Florida State's Jameis Winston cleared in code of conduct hearing
7150	2014-12-21	Tom Brokaw says his cancer is in remission
7151	2014-12-21	Gunman who shot and killed 2 NYPD officers in Brooklyn had troubled past, mother, police say
7152	2014-12-21	In Midst of Holiday Shopping, Protesters Disrupt Business-As-Usual to Declare 'Black Lives Matter'
7153	2014-12-21	Dolphins beat Vikings in wild shootout; owner Stephen Ross says coach Joe Philbin coming back
7154	2014-12-21	Tampa Bay Buccaneers TeamReport
7155	2014-12-21	Cairns woman charged with murder of eight children: Bodies found in Manoora house
7156	2014-12-21	Iraqi Kurds, Yazidis fight Islamic State for strategic town of Sinjar
7157	2014-12-21	Essebsi declares win in Tunisia election, rival contests
7158	2014-12-21	Before Shooting Two Officers, Gunman Bragged About His Plans
7159	2014-12-21	US struggles to find response to N Korea hack attack
7160	2014-12-21	Green Bay Packers TeamReport
7161	2014-12-21	Dolphins Rally Past Vikings 37-35; Philbin to Keep Job
7162	2014-12-21	Cairns murders: Home where 8 children died likely to be demolished, local MP says
7163	2014-12-21	Rubio: Paul is a 'chief cheerleader' for Obama's foreign policy
7164	2014-12-21	Beji Caid Essebsi, ex-regime official, is Tunisia's new president
7165	2014-12-21	FSU clears Jameis Winston of violating student coduct code
7166	2014-12-21	Obama: US Might Put N. Korea on Terror Sponsor List
7167	2014-12-21	'Caged Rat': Man Shoots, Kills, Runs Over Florida Police Officer
7168	2014-12-21	Know the foe: Lions will face Packers for NFC North title
7169	2014-12-21	When Jameis Winston era ends at FSU, so will extra, unwelcome scrutiny
7170	2014-12-21	Vikings QB Teddy Bridgewater has solid performance in loss
7171	2014-12-21	Exit polls suggest challenger has won Tunisia presidential election
7172	2014-12-21	Two seriously injured after man drives into pedestrian crowd in Dijon, France - World Israel News
7173	2014-12-21	Shooter bragged to bystanders just before killing NYPD cops
7174	2014-12-21	Packers stomp Bucs, set up NFC title showdown
7175	2014-12-21	Jameis Winston Cleared of Florida State Conduct Violations, Attorney Says
7176	2014-12-21	Miami Dolphins TeamReport
7177	2014-12-21	Georgia Prosecutor Said to Be Selected for Justice Deputy Post
7178	2014-12-21	Protests, candle-lit vigils held on sixth day of school tragedy
7179	2014-12-21	Florida Cop Murdered While Responding to a Call
7180	2014-12-21	Jameis Winston Is Cleared in Florida State Hearing
7181	2014-12-21	Man shouting 'Allahu Akbar' drives into crowd in France
7182	2014-12-21	Muhammad Ali Hospitalized with Pneumonia
7183	2014-12-21	Madonna Conquers iTunes Everywhere With New Album 'Rebel Heart'
7184	2014-12-21	Cowboys win NFC East title; Packers, Steelers, clinch playoff spots
7185	2014-12-21	Elton John Weds Long-time Partner
7186	2014-12-21	Gunman's Maryland shooting spurred dire warning to NYPD: 'Threats on police'
7187	2014-12-21	Driver Shouting 'Allahu Akbar!' Runs Down 11 French Pedestrians
7188	2014-12-21	Muhammad Ali Hospitalized with Pneumonia
7189	2014-12-21	Gola: Cowboys finally get job done, return to playoffs
7190	2014-12-21	Miami native Teddy Bridgewater nearly leads Vikings past Dolphins
7191	2014-12-21	White House Weighs Options Against North Korea
7192	2014-12-21	Florida police officer dies on duty after getting shot, run over
7193	2014-12-21	FSU QB Winston cleared in conduct hearing
7194	2014-12-21	Driving Shouting 'Allahu Akbar!' Runs Down 11 French Pedestrians
7195	2014-12-21	Lightning strike injures several after Bucs game at Raymond James Stadium
7196	2014-12-21	New Madonna songs out early after online leaks, AsiaOne Showbiz News
7197	2014-12-21	Muhammad Ali Hospitalized with Pneumonia
7198	2014-12-21	Romo sets passing record as Cowboys return to the playoffs
7199	2014-12-21	In Brooklyn, the Lives of 2 Officers Are Recalled as Their Deaths Are Mourned
7200	2014-12-21	Driver Shouting 'Allahu Akbar!' Runs Down 11 French Pedestrians
7201	2014-12-21	New Madonna songs from 'Rebel Heart': review
7202	2014-12-21	Kris Jenner Attends Lance Bass' Wedding With Boyfriend Corey Gamble
7203	2014-12-21	7 hurt when lightning strikes near Tampa Bay game
7204	2014-12-21	Madonna's Rebel Heart early review: Something old, something new, something ...
7205	2014-12-21	AP Sources: Yates Tapped for Deputy AG
7206	2014-12-21	Boxing legend Muhammad Ali (72) on the mend, say doctors
7207	2014-12-21	Another Sabre gets cartwheeled in Boston
7208	2014-12-21	Florida suspect shot police officer then ran him over
7209	2014-12-21	Man Reacts After Lightning Strikes Car and Injures 11 People
7210	2014-12-21	Jets Keep Patriots at Bay, Then Revert to Type Against Their Rivals
7211	2014-12-21	Bruins Rally for 4-3 Overtime Win Against Sabres
7212	2014-12-21	'The Affair' Creator on the Finale's Big Reveal
7213	2014-12-21	Sabres at Bruins recap: Sabres get one point and lose two players
7214	2014-12-21	Homeland Delivers the Sleepiest Season Finale Ever, But At Least There Was Kissing
7215	2014-12-21	Police: Man killed girlfriend, her 2 kids in Maine
7216	2014-12-21	North Korea threatens to attack White House over hacking claims
7217	2014-12-21	Sunday, December 21 Overnight Forecast
7218	2014-12-21	Florida State's Jameis Winston cleared of accusations
7219	2014-12-21	Jets Insider: Nick Mangold hurt in loss to Patriots
7220	2014-12-21	LeBron James, Dion Waiters lead Cleveland past Memphis
7221	2014-12-21	STATE POLICE: Garland Man Wanted For Questioning Charged With Killing Girlfriend, 2 Kids
7222	2014-12-21	Tunisia election: Sense of achievement for voters
7223	2014-12-22	A Widening Rift Between de Blasio and the Police Is Savagely Ripped Open
7224	2014-12-22	Police: Fugitive killed Florida officer
7225	2014-12-22	Pharmacy Deal Heralds Changed Landscape for Hepatitis Drugs
7226	2014-12-22	List of People Being Honored as Carnegie Heroes
7227	2014-12-22	UPDATE 2-Florida State quarterback Winston cleared in conduct hearing into alleged rape
7228	2014-12-22	Rex Ryan Falls Again to Bill Belichick and Patriots
7229	2014-12-22	NFL ticker: Did QB Tony Romo break the December curse?
7230	2014-12-22	QB Jameis Winston cleared in conduct hearing
7231	2014-12-22	List of people being honored as Carnegie Heroes
7232	2014-12-22	Russell Wilson jump starts an eventual Seahawks blowout
7233	2014-12-22	Tunisia election: Marzouki refuses to admit defeat
7234	2014-12-22	Police Departments on Alert After Cop Killings
7235	2014-12-22	North Korea issues new threat against US over hacking claims as Obama weighs action
7236	2014-12-22	Alleged Australia child killer 'coping as best she can'
7237	2014-12-22	QB Jameis Winston cleared in conduct hearing
7238	2014-12-22	Rudolph Stamps Guide Tiny Post Office to Success
7239	2014-12-22	Seahawks 35, Cardinals 6
7240	2014-12-22	Essebsi declares win in Tunisia election, rival contests
7241	2014-12-22	Police Departments on Alert After Cop Killings
7242	2014-12-22	Florida Cop Killed, But Gunman Is Not A Police-Hater : Society : Chinatopix
7243	2014-12-22	Cairns murder house to become memorial
7244	2014-12-22	Madonna Surprises With 6 Songs From Her New Album 'Rebel Heart'
7245	2014-12-22	Homeland: “Long Time Coming”
